make,model,horsepower,acceleration_time,top_speed,fuel_consumption,price
Porsche,718 Cayman,300,4.9,170,24,55300
Porsche,718 Cayman S,350,4.4,177,22,67700
Porsche,718 Boxster ,300,4.9,170,24,57400
Porsche,718 Boxster S,350,4.4,177,22,69800
Porsche,718 Cayman GTS,365,4.4,180,NA,79800
Porsche,718 Boxster GTS,365,4.4,180,NA,81900
Porsche,911 Carerra,370,NA,NA,23,91100
Porsche,911 Carerra S,420,NA,NA,23,105100
Porsche,911 Carerra Cabriolet,370,NA,NA,23,103400
Porsche,911 Carerra S Cabriolet,NA,NA,NA,23,117400
Porsche,911 Carerra 4,NA,NA,NA,23,98000
Porsche,911 Carerra 4S,NA,NA,NA,23,112000
Porsche ,911 Carerra 4 Cabriolet,NA,NA,NA,22,110300
Porsche ,911 Carerra 4S Cabriolet,NA,NA,NA,22,124300
Porsche,Panamera,330,5.4,164,24,85000
Porsche,Panamera 4,330,5.2,162,23,89600
Porsche,Panamera 4 Sport Turismo,330,5.2,160,NA,96200
Porsche,Panamera 4 Executive,330,5.3,162,23,96300
Porsche,Panamera 4S,440,4.2,179,23,103000
Porsche,Panamera 4S Sport Turismo,440,4.2,177,NA,109200
Porsche,Panamera 4S Executive,440,4.3,179,23,113900
Porsche,911 Carerra T,370,4.3,182,NA,102100
Porsche,911 Targa 4,370,NA,NA,22,110300
Porsche,911 Targa 4S,NA,NA,NA,22,124300
Porsche,911 Turbo,540,NA,NA,21,161800
Porsche,911 Turbo S,580,NA,NA,21,190700
Porsche,911 Turbo Cabriolet,540,NA,NA,21,174100
Porsche,911 Turbo S Cabriolet,580,NA,NA,21,203000
Porsche,911 Turbo S Exclusive Series,607,2.8,205,NA,257500
Porsche,911 GT2 RS,700,2.7,211,NA,293200
Porsche,911 GT3,500,NA,NA,16,143600
Porsche,911 Carerra GTS,450,NA,NA,21,120700
Porsche,911 Carerra GTS Cabriolet,450,NA,NA,21,133000
Porsche,911 Carerra 4 GTS,NA,NA,NA,21,127600
Porsche,911 Carerra 4 GTS Cabriolet,450,NA,NA,21,139900
Porsche,911 Targa 4 GTS,NA,NA,NA,21,139900
Porsche,Panamera 4 E-Hybrid,462,4.4,172,NA,99600
Porsche,Panamera 4 E-Hybrid Sport Turismo,462,4.4,170,NA,104000
Porsche,Panamera 4 E-Hybrid Executive,462,4.5,172,NA,104100
Porsche,Panamera Turbo S E-Hybrid,680,3.2,192,NA,184400
Porsche,Panamera Turbo S E-Hybrid Executive,680,3.3,192,NA,194800
Porsche,Panamera Turbo S E-Hybrid Sport Turismo,680,3.2,192,NA,188400
Porsche,Panamera Turbo,550,3.6,190,21,150000
Porsche,Panamera Turbo Sport Turismo,550,3.6,188,NA,154000
Porsche,Panamera Turbo Executive,550,3.7,190,21,160000
Porsche,Macan,252,6.3,142,22,47800
Porsche,Macan S,340,NA,NA,19,55400
Porsche,Macan GTS,NA,NA,NA,NA,68900
Porsche,Macan Turbo,NA,NA,NA,19,77200
Porsche,Cayenne,340,5.9,152,NA,65700
Porsche,Cayenne S,440,4.9,164,NA,82900
Porsche,Cayenne Turbo,550,3.9,177,NA,124600
BMW,740i Sedan,320,5.4,155,64,83100
BMW,740i xDrive Sedan,320,5.1,155,64,86100
BMW,740e xDrive iPerformance,322,5.1,155,64,90700
BMW,750i Sedan,445,4.6,155,64,96400
BMW,750i xDrive Sedan,445,4.3,155,64,99400
BMW,M760i xDrive Sedan,601,3.6,155,64,156700
BMW,640i Gran Coupe,315,5.4,155,23,81400
BMW,640i xDrive Gran Coupe,315,5.2,155,22,84400
BMW,650i Gran Coupe,445,4.5,155,20,93000
BMW,650i xDrive Gran Coupe,445,4.3,155,19,96000
BMW,M6 Gran Coupe,560,4.1,155,NA,119800
BMW,M6 Convertible,560,4.3,155,NA,122300
BMW,X1 sDrive28i,228,6.6,131,26,33900
BMW,X1 xDrive28i,228,6.3,131,25,35900
BMW,X3 xDrive30i,248,6,130,NA,42450
BMW,X3 M40i,355,4.6,155,NA,54300
BMW,X4 xDrive28i,240,6,144,NA,47600
BMW ,X4 M40i,355,4.7,150,NA,59250
BMW,X5 sDrive35i,300,6.1,146,21,56950
BMW,X5 xDrive35i,300,6.1,146,20,59250
BMW,X5 xDrive35d,255,6.5,143,26,60750
BMW,X5 xDrive40e iPerformance,308,6.5,130,56,63500
BMW,X5 xDrive50i,445,4.7,155,17,73800
BMW,X6 sDrive35i,300,6,146,21,62700
BMW,X6 xDrive35i,300,6,146,20,65000
BMW,X6 xDrive50i,445,4.6,155,17,77450
BMW,530i Sedan,248,6,155,NA,52400
BMW,530i xDrive Sedan,248,5.8,155,NA,54700
BMW,530e iPerformance,248,6,146,NA,52400
BMW,530e xDrive iPerformance,248,5.8,146,NA,54700
BMW,540i Sedan,335,4.9,155,NA,57700
BMW,540i xDrive Sedan,335,4.7,155,NA,60000
BMW,M550i xDrive Sedan,456,3.9,155,NA,73400
BMW,430i Coupe,248,5.5,155,NA,43300
BMW,430i xDrive Coupe,248,5.5,149,NA,45300
BMW,440i Coupe,320,4.8,155,NA,49700
BMW,440i xDrive Coupe,320,4.6,149,NA,51700
BMW,320i Sedan,180,7.1,146,28,34900
BMW,320i xDrive Sedan,180,7.1,143,27,36900
BMW,328d Sedan,180,7.4,143,NA,41750
BMW,328d xDrive Sedan,180,7.3,142,NA,43750
BMW,330i Sedan,248,5.5,155,NA,40250
BMW,330i xDrive Sedan,248,5.5,149,NA,42250
BMW,330e iPerformance,248,5.9,140,71,45600
BMW,340i Sedan,320,4.8,155,NA,48950
BMW,340i xDrive Sedan,320,4.6,149,NA,50950
BMW,330i xDrive Gran Turismo,248,5.9,149,26,44850
BMW,340i xDrive Gran Turismo,320,4.7,149,24,50700
BMW,230i Coupe,248,5.3,155,28,34800
BMW,230i xDrive Coupe,248,5.2,149,27,36800
BMW,M240i Coupe,335,4.4,155,25,45300
BMW,M240i xDrive Coupe,335,4.2,149,25,47300
Maserati,Gran Turismo,454,4.8,186,16,132975
Maserati,Quattroporte,424,5,179,18,105600
Maserati,Levante,345,5.8,156,16,74050
Maserati,Ghibli,345,5.5,166,19,73050
